ID;Heure de début;Heure de fin;Adresse de messagerie;Nom;Total points;Quiz feedback;Heure de la dernière modification;Votre nom;Points - Votre nom;Feedback - Votre nom;Aimez-vous la géographie?;Points - Aimez-vous la géographie?;Feedback - Aimez-vous la géographie?;Avez-vous déjà étudié d'autres langues pendant une longue période?;Points - Avez-vous déjà étudié d'autres langues pendant une longue période?;Feedback - Avez-vous déjà étudié d'autres langues pendant une longue période?;Quelle langue parle-t-on au Bhoutan?;Points - Quelle langue parle-t-on au Bhoutan?;Feedback - Quelle langue parle-t-on au Bhoutan?;En Andorre, quelle langue est couramment utilisée?;Points - En Andorre, quelle langue est couramment utilisée?;Feedback - En Andorre, quelle langue est couramment utilisée?;Quelle langue la population parle-t-elle au Suriname?;Points - Quelle langue la population parle-t-elle au Suriname?;Feedback - Quelle langue la population parle-t-elle au Suriname?;En Eswatini, quelle langue est majoritairement parlée?;Points - En Eswatini, quelle langue est majoritairement parlée?;Feedback - En Eswatini, quelle langue est majoritairement parlée?;"Quelle langue est utilisée pour les affaires gouvernementales à Timor-Leste?
";"Points - Quelle langue est utilisée pour les affaires gouvernementales à Timor-Leste?
";"Feedback - Quelle langue est utilisée pour les affaires gouvernementales à Timor-Leste?
"
3;11-9-23 12:38:17;11-9-23 12:39:11;anonymous;;;;;Shelley ;;;Non;;;Non;;;le néerlandais;;;le catalan;;;le swati et l'anglais;;;le swati et l'anglais;;;le swati et l'anglais;;
4;11-9-23 12:39:15;11-9-23 12:40:02;anonymous;;;;;Morrison;;;Non;;;Oui;;;le néerlandais;;;le catalan;;;le swati et l'anglais;;;le swati et l'anglais;;;le tétum et le portugais;;
5;11-9-23 12:40:13;11-9-23 12:40:56;anonymous;;;;;Beethoven;;;Oui;;;Oui;;;le dzongkha;;;le catalan;;;le tétum et le portugais;;;le swati et l'anglais;;;le néerlandais;;
6;11-9-23 12:40:15;11-9-23 12:41:19;anonymous;;;;;Shakespeare;;;Non;;;Non;;;le tétum et le portugais;;;le swati et l'anglais;;;le dzongkha;;;le néerlandais;;;le catalan;;
7;11-9-23 12:40:14;11-9-23 12:41:21;anonymous;;;;;Cervantes;;;Non;;;Oui;;;le dzongkha;;;le catalan;;;le swati et l'anglais;;;le swati et l'anglais;;;le tétum et le portugais;;
8;11-9-23 12:40:45;11-9-23 12:41:40;anonymous;;;;;Dumas;;;Oui;;;Oui;;;le tétum et le portugais;;;le tétum et le portugais;;;le dzongkha;;;le swati et l'anglais;;;le swati et l'anglais;;
9;11-9-23 12:40:25;11-9-23 12:41:42;anonymous;;;;;Bach;;;Non;;;Oui;;;le swati et l'anglais;;;le dzongkha;;;le tétum et le portugais;;;le swati et l'anglais;;;le tétum et le portugais;;
10;11-9-23 12:40:18;11-9-23 12:41:45;anonymous;;;;;Brontë;;;Oui;;;Oui;;;le swati et l'anglais;;;le néerlandais;;;le swati et l'anglais;;;le tétum et le portugais;;;le tétum et le portugais;;
11;11-9-23 12:40:14;11-9-23 12:41:54;anonymous;;;;;Debussy;;;Oui;;;Oui;;;le swati et l'anglais;;;le catalan;;;le tétum et le portugais;;;le swati et l'anglais;;;le néerlandais;;
12;11-9-23 12:40:23;11-9-23 12:42:08;anonymous;;;;;Borges;;;Non;;;Non;;;le dzongkha;;;le swati et l'anglais;;;le néerlandais;;;le tétum et le portugais;;;le catalan;;
13;11-9-23 12:40:21;11-9-23 12:42:13;anonymous;;;;;García Márquez;;;Oui;;;Oui;;;le dzongkha;;;le tétum et le portugais;;;le swati et l'anglais;;;le néerlandais;;;le swati et l'anglais;;
14;11-9-23 12:40:22;11-9-23 12:42:16;anonymous;;;;;Juan Rulfo;;;Non;;;Oui;;;le dzongkha;;;le catalan;;;le tétum et le portugais;;;le swati et l'anglais;;;;;
15;11-9-23 12:40:14;11-9-23 12:42:17;anonymous;;;;;Machado de Assis;;;Oui;;;Oui;;;le dzongkha;;;le catalan;;;le tétum et le portugais;;;le swati et l'anglais;;;le néerlandais;;
16;11-9-23 12:40:22;11-9-23 12:42:28;anonymous;;;;;Marie Curie;;;Oui;;;Oui;;;le dzongkha;;;le catalan;;;le tétum et le portugais;;;le swati et l'anglais;;;le néerlandais;;
17;11-9-23 12:40:14;11-9-23 12:42:30;anonymous;;;;;Austen;;;Oui;;;Oui;;;le dzongkha;;;le catalan;;;le tétum et le portugais;;;le swati et l'anglais;;;le swati et l'anglais;;
18;11-9-23 12:40:35;11-9-23 12:43:03;anonymous;;;;;Cervantes;;;Oui;;;Oui;;;le dzongkha;;;le catalan;;;le néerlandais;;;le swati et l'anglais;;;le tétum et le portugais;;
19;11-9-23 12:40:34;11-9-23 12:43:10;anonymous;;;;;Kahlo;;;Oui;;;Oui;;;le dzongkha;;;le catalan;;;le tétum et le portugais;;;le néerlandais;;;le swati et l'anglais;;
