note,ville
85.14,Québec
84.85,Québec
84.17,Montréal
82.84,Québec
82.76,Québec
81.9,Québec
81.86,Québec
80.43,Québec
79.27,Québec
79.25,Québec
78.83,Québec
78.54,Montréal
78.5,Québec
77.65,Montréal
77.63,Montréal
77.53,Montréal
77.41,Montréal
77.27,Québec
77.22,Québec
76.99,Montréal
76.91,Québec
76.84,Québec
76.66,Québec
76.62,Montréal
76.5,Québec
76.29,Montréal
75.93,Québec
75.56,Québec
75.47,Québec
75.4,Québec
75.13,Québec
75.09,Montréal
75.08,Québec
74.92,Québec
74.76,Québec
74.73,Québec
74.39,Québec
74.28,Québec
74.07,Québec
74.02,Québec
73.99,Montréal
73.66,Québec
73.52,Montréal
73.42,Québec
73.34,Montréal
73.04,Montréal
72.61,Montréal
72.44,Montréal
72.38,Québec
72.27,Québec
72.23,Montréal
71.93,Montréal
71.61,Québec
71.58,Montréal
71.47,Montréal
71.45,Québec
71.37,Québec
70.99,Montréal
70.89,Montréal
70.87,Québec
70.51,Montréal
70.2,Québec
69.95,Québec
69.72,Québec
69.23,Montréal
69.16,Québec
68.81,Montréal
68.7,Montréal
68.19,Montréal
68.15,Montréal
68.11,Montréal
68.11,Montréal
67.71,Québec
67.59,Québec
67.32,Montréal
67.18,Montréal
66.86,Montréal
66.83,Montréal
66.55,Québec
66.49,Montréal
66.23,Montréal
65.89,Québec
65.83,Québec
65.69,Montréal
65.43,Montréal
65.37,Montréal
65.03,Montréal
64.63,Montréal
64.56,Québec
63.97,Montréal
63.89,Montréal
63.82,Montréal
63.61,Montréal
62.92,Montréal
62.25,Québec
61.72,Montréal
61.43,Québec
60.77,Montréal
58.34,Montréal
57.33,Montréal
