ID,L1,Proficiency,Age,Sex,Feedback,Hours,PreTest,PostTest,DelayedPostTest
Learner_1,Japanese,Int,24,Female,Explicit correction,8,65,65,73
Learner_2,Japanese,Int,26,Male,Explicit correction,8,55,56,61
Learner_3,Japanese,Int,31,Male,Recast,9,70,77,76
Learner_4,Japanese,Int,38,Female,Explicit correction,8,56,60,60
Learner_5,Japanese,Int,22,Female,Explicit correction,7,51,53,62
Learner_6,German,Int,38,Male,Recast,6,65,69,71
Learner_7,German,Int,39,Male,Recast,7,72,73,72
Learner_8,German,Int,33,Male,Explicit correction,6,52,48,50
Learner_9,German,Int,32,Female,Explicit correction,7,71,74,72
Learner_10,German,Int,19,Female,Recast,8,72,72,72
Learner_11,Japanese,Int,22,Female,Recast,6,34,47,46
Learner_12,Japanese,Int,22,Female,Explicit correction,9,78,79,85
Learner_13,Japanese,Int,33,Male,Recast,8,56,65,65
Learner_14,Japanese,Int,26,Male,Recast,8,65,74,77
Learner_15,Japanese,Int,35,Male,Recast,9,69,81,85
Learner_16,German,Int,29,Male,Explicit correction,8,64,64,59
Learner_17,German,Int,34,Female,Recast,6,67,70,69
Learner_18,German,Int,40,Male,Recast,1,81,84,87
Learner_19,German,Int,26,Male,Recast,9,66,68,66
Learner_20,German,Int,35,Female,Explicit correction,7,76,71,69
Learner_21,Japanese,Int,39,Female,Explicit correction,8,56,58,63
Learner_22,Japanese,Int,22,Male,Explicit correction,8,63,68,75
Learner_23,Japanese,Int,32,Male,Explicit correction,8,59,60,67
Learner_24,Japanese,Int,20,Male,Recast,8,67,68,68
Learner_25,Japanese,Int,24,Female,Recast,9,71,74,79
Learner_26,German,Int,26,Male,Recast,7,71,74,68
Learner_27,German,Int,18,Female,Explicit correction,12,84,81,79
Learner_28,German,Int,26,Male,Explicit correction,12,76,75,73
Learner_29,German,Int,38,Male,Explicit correction,6,81,79,79
Learner_30,German,Int,25,Female,Recast,5,73,78,76
Learner_31,Japanese,Int,29,Female,Explicit correction,7,46,55,59
Learner_32,Japanese,Int,31,Male,Explicit correction,9,68,72,76
Learner_33,Japanese,Int,29,Male,Explicit correction,9,78,81,90
Learner_34,Japanese,Int,22,Female,Recast,8,66,78,77
Learner_35,Japanese,Int,37,Female,Explicit correction,7,50,53,57
Learner_36,German,Int,33,Female,Recast,11,61,62,56
Learner_37,German,Int,36,Female,Recast,5,75,75,76
Learner_38,German,Int,20,Female,Recast,2,62,60,63
Learner_39,German,Int,34,Female,Explicit correction,3,72,75,70
Learner_40,German,Int,27,Female,Explicit correction,8,72,68,67
Learner_41,Japanese,Int,36,Female,Explicit correction,8,60,64,70
Learner_42,Japanese,Int,32,Female,Recast,8,65,74,73
Learner_43,Japanese,Int,36,Male,Recast,8,60,72,69
Learner_44,Japanese,Int,30,Male,Explicit correction,7,47,46,51
Learner_45,Japanese,Int,30,Female,Explicit correction,9,65,71,74
Learner_46,German,Int,36,Male,Explicit correction,10,97,99,99
Learner_47,German,Int,18,Male,Explicit correction,5,66,63,66
Learner_48,German,Int,28,Female,Explicit correction,7,67,64,60
Learner_49,German,Int,34,Male,Explicit correction,6,72,71,71
Learner_50,German,Int,33,Female,Recast,8,70,75,75
Learner_51,Japanese,Adv,28,Female,Recast,9,74,82,92
Learner_52,Japanese,Adv,37,Female,Recast,9,76,80,88
Learner_53,Japanese,Adv,28,Male,Explicit correction,8,65,61,68
Learner_54,Japanese,Adv,23,Male,Recast,9,69,75,77
Learner_55,Japanese,Adv,19,Female,Explicit correction,8,62,63,67
Learner_56,German,Adv,20,Male,Explicit correction,5,84,81,84
Learner_57,German,Adv,25,Female,Explicit correction,10,88,88,87
Learner_58,German,Adv,29,Male,Explicit correction,8,81,76,73
Learner_59,German,Adv,33,Male,Explicit correction,8,89,87,88
Learner_60,German,Adv,27,Male,Recast,9,86,91,89
Learner_61,Japanese,Adv,38,Male,Recast,9,72,77,86
Learner_62,Japanese,Adv,24,Female,Explicit correction,9,73,79,86
Learner_63,Japanese,Adv,28,Male,Explicit correction,9,68,72,77
Learner_64,Japanese,Adv,25,Female,Recast,8,65,75,78
Learner_65,Japanese,Adv,32,Female,Recast,9,67,78,78
Learner_66,German,Adv,23,Male,Explicit correction,7,82,80,83
Learner_67,German,Adv,29,Male,Explicit correction,2,88,87,80
Learner_68,German,Adv,35,Male,Recast,7,81,82,77
Learner_69,German,Adv,19,Female,Recast,4,81,88,88
Learner_70,German,Adv,38,Male,Explicit correction,7,88,88,89
Learner_71,Japanese,Adv,25,Female,Explicit correction,9,72,73,82
Learner_72,Japanese,Adv,37,Female,Explicit correction,9,75,82,84
Learner_73,Japanese,Adv,25,Female,Explicit correction,9,72,78,85
Learner_74,Japanese,Adv,25,Male,Explicit correction,8,63,65,70
Learner_75,Japanese,Adv,28,Male,Explicit correction,8,66,70,78
Learner_76,German,Adv,38,Female,Explicit correction,8,90,85,77
Learner_77,German,Adv,37,Female,Explicit correction,11,89,86,84
Learner_78,German,Adv,26,Female,Explicit correction,8,80,77,76
Learner_79,German,Adv,35,Female,Explicit correction,9,84,86,84
Learner_80,German,Adv,40,Female,Recast,6,86,94,90
Learner_81,Japanese,Adv,27,Male,Explicit correction,9,74,82,82
Learner_82,Japanese,Adv,34,Male,Recast,9,72,80,84
Learner_83,Japanese,Adv,27,Female,Recast,8,62,71,73
Learner_84,Japanese,Adv,25,Female,Explicit correction,9,70,72,79
Learner_85,Japanese,Adv,35,Female,Explicit correction,9,69,73,78
Learner_86,German,Adv,22,Male,Explicit correction,6,86,85,79
Learner_87,German,Adv,34,Female,Explicit correction,15,83,80,80
Learner_88,German,Adv,20,Female,Explicit correction,7,81,77,74
Learner_89,German,Adv,23,Female,Explicit correction,8,87,86,82
Learner_90,German,Adv,21,Female,Explicit correction,6,83,84,86
Learner_91,Japanese,Adv,23,Female,Explicit correction,9,71,75,78
Learner_92,Japanese,Adv,19,Male,Explicit correction,9,68,69,73
Learner_93,Japanese,Adv,32,Male,Recast,8,66,75,78
Learner_94,Japanese,Adv,38,Female,Explicit correction,9,70,74,77
Learner_95,Japanese,Adv,35,Male,Recast,9,69,77,83
Learner_96,German,Adv,36,Female,Recast,9,86,87,82
Learner_97,German,Adv,28,Male,Explicit correction,7,88,90,93
Learner_98,German,Adv,27,Female,Explicit correction,6,92,87,96
Learner_99,German,Adv,36,Male,Explicit correction,7,78,74,74
Learner_100,German,Adv,31,Female,Recast,8,81,87,84
